     hat_id      | ndet  |                           full_lc_fpath
 HAT-062-0000306 |  5554 | 062/HAT-062-0000306-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000499 |     1 | 062/HAT-062-0000499-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000664 |     1 | 062/HAT-062-0000664-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000698 |   197 | 062/HAT-062-0000698-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000823 | 23955 | 062/HAT-062-0000823-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0001339 | 23955 | 062/HAT-062-0001339-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0001360 |  5553 | 062/HAT-062-0001360-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0004119 |     9 | 062/HAT-062-0004119-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0004746 |  5554 | 062/HAT-062-0004746-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0029161 | 29504 | 062/HAT-062-0029161-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000003 |  5554 | 063/HAT-063-0000003-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000004 |  5553 | 063/HAT-063-0000004-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000005 |  5446 | 063/HAT-063-0000005-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000006 |  5555 | 063/HAT-063-0000006-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000012 |  5750 | 063/HAT-063-0000012-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000046 |  5555 | 063/HAT-063-0000046-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000054 |  5555 | 063/HAT-063-0000054-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000158 | 29508 | 063/HAT-063-0000158-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000176 |  5554 | 063/HAT-063-0000176-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000266 |  5555 | 063/HAT-063-0000266-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000487 |  5553 | 063/HAT-063-0000487-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0000831 |  5374 | 063/HAT-063-0000831-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0004468 |  5554 | 063/HAT-063-0004468-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0005403 |  5555 | 063/HAT-063-0005403-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0007561 |  5555 | 063/HAT-063-0007561-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0008687 |  5554 | 063/HAT-063-0008687-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-063-0021269 |  5554 | 063/HAT-063-0021269-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-064-0000001 |  5555 | 064/HAT-064-0000001-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-064-0000019 |  5553 | 064/HAT-064-0000019-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-064-0000040 |  5557 | 064/HAT-064-0000040-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-064-0000074 |  7509 | 064/HAT-064-0000074-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-064-0000168 |  7474 | 064/HAT-064-0000168-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-064-0000169 |  7486 | 064/HAT-064-0000169-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
